Course name,Course link,Cover image,Institution,Verified,Start date,Self Paced,Video link,Short description,Course provider image,Enroll now link,About course,Overall rating,All reviews,Instructor name,instructor details,Instructor photo,Course price,length,Effort,Subject,Level,Video transcript,Languages
Analyzing and Visualizing Data with SQL Server Reporting Services,https://www.edx.org/course/analyzing-visualizing-data-sql-server-microsoft-dat214x-2,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat214x_banner_378x225.jpg,Microsoft,Yes,"Starts on October 13, 2017",Yes,Missing,"Learn to create mobile reports, paginated reports, and KPIs using business data with SQL Server Reporting Services (SSRS).",Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT214x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"In this computer science course, you will learn to build reports with SQL Server Reporting Services, which includes new visualization features and mobile capabilities. You will learn to create reporting solutions, mobile reports and dashboards.
Whether you're new to reporting services, or experienced with earlier versions, we'll show you how to build tables, matrices, advanced visualizations, and dashboards with key performance indicators. You'll design and deploy compelling, interactive reports for smartphones, tablets, and browsers.
Note:",Missing,Missing,Paul Turley,Microsoft,None,FREE,6 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
Developing SQL Databases,https://www.edx.org/course/developing-sql-databases-microsoft-dat215-1x-2,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat215.1.png,Microsoft,Yes,"Starts on October 13, 2017",Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat215.1_318x210.jpg?itok=gytxBVGu,"Learn the technologies and features needed to create and design SQL databases, including how to implement SQL views, indexes and tables.",Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT215.1x%2B3T2017a&enrollment_action=enroll&email_opt_in=true,"Database development is more than just creating a table with rows and columns. This computer science course introduces features and technologies for implementing a database. Topics include:
Logical table design
Ensuring Data Integrity
Indexes
Views",Missing,Missing,Geoff Allix,"Microsoft Certified IT Professional for SQL Server
Content Master",None,FREE,4 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
Delivering a Relational Data Warehouse,https://www.edx.org/course/delivering-relational-data-warehouse-microsoft-dat216x-4,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat_216x_banner_378x225.jpg,Microsoft,Yes,"Starts on October 13, 2017",Yes,Missing,"Learn how to design, build, load, and operate a relational data warehouse to support business intelligence (BI) and advanced analytics.",Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT216x%2B3T2017a&enrollment_action=enroll&email_opt_in=true,"This computer science course from Microsoft provides learners with the knowledge and skills required to design, implement, and load a relational data warehouse. In this four week course, you’ll learn how to analyze business requirements, design dimension and fact tables, index and partition the data for performance, and create ETL solutions for ongoing loading of the warehouse.
Note: To complete the hands-on elements in this course, you will require an Azure subscription and a Windows, Linux, or Mac OS X client computer. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.",Missing,Missing,Peter Myers,"Consultant, Trainer and Presenter
Bitwise Solutions",None,FREE,6 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
Implementing ETL with SQL Server Integration Services (SSIS),https://www.edx.org/course/implementing-etl-sql-server-integration-microsoft-dat217x-4,Images/https://www.edx.org/sites/default/files/course/image/promoted/implementing_etl_with_ssis_378x225_0.jpg,Microsoft,Yes,"Starts on October 13, 2017",Yes,Missing,Learn how to use SSIS to build high performance integration solutions and ETL packages for data warehousing.,Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT217x%2B3T2017a&enrollment_action=enroll&email_opt_in=true,"Microsoft SQL Server Integration Services (SSIS) features graphical tools and wizards for:
building and debugging packages
tasks for performing workflow functions
executing SQL statements
data sources and destinations for extracting and loading data
transformations for cleaning, aggregating, merging, and copying data",Missing,Missing,Randal Root,"Lecturer
University of Washington",None,FREE,6 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
Data Cleansing with Data Quality Services (DQS),https://www.edx.org/course/data-cleansing-data-quality-services-dqs-microsoft-dat218x-2,Images/https://www.edx.org/sites/default/files/course/image/promoted/data_quality_services_378x225.jpg,Microsoft,Yes,"Starts on October 13, 2017",Yes,Missing,"A straightforward, no-nonsense approach to improving your data cleansing skills with SQL Server Data Quality Services (DQS).",Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT218x%2B3T2017a&enrollment_action=enroll&email_opt_in=true,"Is your data messy? Do you need to learn how to clean it up? In this computer science course, we will discuss the discipline of Data Quality Assurance and Data Quality Services (DQS). You will learn why your data needs cleansing, the capabilities and features of DQS, what a DQS solution looks likes and how data cleansing integrates with an Integration Services (SSIS) data flow. We will demonstrate a variety of critical data quality activities such as knowledge discovery, domain management, matching policies for the de-duplication of data, and administration topics covering installation, configuration and security.",Missing,Missing,Peter Myers,"Consultant, Trainer and Presenter
Bitwise Solutions",None,FREE,4 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
Developing a SQL Server Analysis Services Tabular Data Model,https://www.edx.org/course/developing-sql-server-analysis-services-microsoft-dat225x,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat225x_image_378x225.jpg,Microsoft,Yes,"Starts on October 13, 2017",Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dat225x_image_318x210.jpg?itok=64_ZZzLn,"Learn how to design, develop, and manage a tabular data model with SQL Server 2016 Analysis Services.",Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT225x%2B3T2017a&enrollment_action=enroll&email_opt_in=true,"If you need intuitive, interactive and high-performance access to your data—and especially if you have large volumes of data—then this course is for you.
Whether you're new to Analysis Services or are experienced with earlier versions, this course will teach you all the information you need to develop a tabular data model. You will learn how to import tables of data from different sources and relate them to form the foundation of your model. You will then learn how to enhance your model with usability features, such as hierarchies.
Note: To complete the hands-on elements in this course, you will require an Azure subscription. You can sign up for a free Azure trial subscription (a valid credit card is required for verification, but you will not be charged for Azure services). Note that the free trial is not available in all regions. It is possible to complete the course and earn a certificate without completing the hands-on practices.",Missing,Missing,Peter Myers,"Consultant, Trainer and Presenter
Bitwise Solutions",None,FREE,6 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
Creating a Master Data Solution with SQL Server Master Data Services (MDS),https://www.edx.org/course/creating-master-data-solution-sql-server-microsoft-dat226x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/dat226x_mds_378x225.jpg,Microsoft,Yes,"Starts on October 13, 2017",Yes,Missing,"Learn how to manage Master Data Management (MDM) solutions with SQL Server 2016 Master Data Services (MDS) to deliver authoritative, standardized, and validated versions of your data.",Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT226x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"In this computer science course, we will discuss the discipline of Master Data Management (MDM) and how to deliver and manage MDM solutions with SQL Server 2016 Master Data Services (MDS).
The course has been written specifically for data professionals. You will learn about common MDM scenarios, and how MDS solutions can be designed, developed, secured and managed.",Missing,Missing,Peter Myers,"Consultant, Trainer and Presenter
Bitwise Solutions",None,FREE,5 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
Asynchronous Programming with JavaScript,https://www.edx.org/course/asynchronous-programming-javascript-microsoft-dev234x-2,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev234x_thumbnail_378x225.jpg,Microsoft,Yes,"Starts on October 13, 2017",Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dev234x_thumbnail_318x210.jpg?itok=-_0-SZzs,"Expand your JavaScript knowledge with the latest asynchronous programming techniques, including JavaScript Promises and Generators.",Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV234x%2B3T2017a&enrollment_action=enroll&email_opt_in=true,"Want to supercharge your JavaScript? Asynchronous programming keeps web applications responsive by allowing multiple tasks to be processed at the same time.
This computer science course will cover the latest asynchronous features in JavaScript, such as Promises and Generators. By the end of this course, you should be able to make asynchronous network requests and write maintainable asynchronous code in JavaScript.",Missing,Missing,Benjamin Lin,"Content Developer
Microsoft",None,FREE,4 weeks,3-4 hours per week,Computer Science,Intermediate,English,English
How Virtual Reality (VR) Works,https://www.edx.org/course/how-virtual-reality-vr-works-uc-san-diegox-cse165x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/vr-course1-378x225.jpg,UC San DiegoX,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/vr-course1-318x210.jpg?itok=LriXABSu,Learn how virtual reality technology works by writing simple VR programs with WebVR.,Logo/https://www.edx.org/sites/default/files/school/image/logo/ucsdx-logo12012015-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AUCSanDiegoX%2BCSE165x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Virtual reality is changing the way we interact with the world. But how does it work, what hardware is involved, and how is software written for it?
In this course, part of the Virtual Reality Professional Certificate program, we will explore the foundations of user-friendly virtual reality app development for consumers, as well as enterprise solutions. Both hardware and software aspects will be discussed. You will learn to evaluate devices necessary for virtual reality applications, what their differences are, how you write interactive applications for virtual reality, and we will discuss the most frequent problems you are going to need to solve to write virtual reality software.",Missing,Missing,Jurgen P. Schulze,"Research Scientist and Adjunct Professor of Computer Science
UC San Diego",None,FREE,6 weeks,5-7 hours per week,Computer Science,Introductory,English,English
ContractsX 2017,https://www.edx.org/course/contractsx-2017-harvardx-hls2x,Images/https://www.edx.org/sites/default/files/course/image/promoted/contractsx_from_trust_to-promise_to_contract_378x225_0.jpg,HarvardX,Yes,,Yes,Missing,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",Logo/https://www.edx.org/sites/default/files/school/image/banner/harvard_logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3AHarvardx%2BHLS2X%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Learn about contracts from Harvard Law Professor Charles Fried, one of the world’s leading authorities on contract law. Contracts are promises that the law will enforce. But when will the law refuse to honor a promise? What happens when one party does not hold to their part of the deal? This version of the course adds new units on Interpretation, Agency, Partnerships, Corporations, and Government Regulation. 

We are exposed to contracts in all areas of our life — agreeing to terms when downloading a new computer program, hiring a contractor to repair a leaking roof, and even ordering a meal at a restaurant. Knowing the principles of contracts is not just a skill needed by lawyers, it illuminates for everyone a crucial institution that we use all the time and generally take for granted.

This contract law course, with new materials and updated case examples, is designed to introduce the range of issues that arise when entering and enforcing contracts. It will provide an introduction to what a contract is and also analyze the purpose and significance of contracts. Then, it will discuss the intent to create legal relations, legality and morality, and the distinction between gifts and bargains. The course also investigates common pitfalls: one-sided promises, mistake, fraud, and frustration. With the knowledge of what makes contracts and how they can go wrong, Professor Fried will discuss remedies and specific performance. Finally, Professor Fried will introduce how contracts can create rights for third parties. 

The course’s instructor, Charles Fried, has been teaching at Harvard Law School for more than 50 years and has written extensively on contracts. Not only is Professor Fried a leading authority on contract law, but he also utilizes a story-telling approach to explaining the topic, which creates a unique and interesting class experience.
HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code : https://www.edx.org/edx-terms-service. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.
HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement : http://harvardx.harvard.edu/research-statement to learn more.
Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form : https://www.edx.org/contact-us.",Missing,Missing,Charles Fried,"Beneficial Professor of Law
Harvard University",None,FREE,8 weeks,3-6 hours per week,Business & Management,Intermediate,English,English
